,symbol,metric,value
779,CF,Avg. Volume,"3,022,696"
780,CRL,Previous Close,214.48
781,CRL,Open,220.14
782,CRL,Bid,225.59 x 800
783,CRL,Ask,226.23 x 900
784,CRL,Day's Range,217.50 - 226.57
785,CRL,52 Week Range,203.37 - 460.21
786,CRL,Volume,"605,130"
787,CRL,Avg. Volume,"497,883"
788,SCHW,Previous Close,72.79
789,SCHW,Open,72.94
790,SCHW,Bid,0.00 x 800
791,SCHW,Ask,74.98 x 800
792,SCHW,Day's Range,72.72 - 73.76
793,SCHW,52 Week Range,59.35 - 96.24
794,SCHW,Volume,"3,600,596"
795,SCHW,Avg. Volume,"7,877,180"
796,CHTR,Previous Close,432.06
797,CHTR,Open,434.04
798,CHTR,Bid,0.00 x 800
799,CHTR,Ask,465.10 x 800
800,CHTR,Day's Range,428.85 - 438.65
801,CHTR,52 Week Range,407.75 - 825.62
802,CHTR,Volume,"1,248,436"
803,CHTR,Avg. Volume,"1,214,758"
804,CVX,Previous Close,161.99
805,CVX,Open,161.66
806,CVX,Bid,163.20 x 800
807,CVX,Ask,0.00 x 900
808,CVX,Day's Range,160.67 - 163.35
809,CVX,52 Week Range,93.31 - 182.40
810,CVX,Volume,"9,035,994"
811,CVX,Avg. Volume,"9,794,930"
812,CMG,Previous Close,"1,630.15"
813,CMG,Open,"1,637.02"
814,CMG,Bid,0.00 x 800
815,CMG,Ask,0.00 x 1400
816,CMG,Day's Range,"1,631.02 - 1,652.36"
817,CMG,52 Week Range,"1,196.28 - 1,958.55"
818,CMG,Volume,"113,203"
819,CMG,Avg. Volume,"245,090"
820,CB,Previous Close,196.73
821,CB,Open,195.60
822,CB,Bid,0.00 x 1000
823,CB,Ask,207.08 x 800
824,CB,Day's Range,194.35 - 196.73
825,CB,52 Week Range,171.96 - 218.99
826,CB,Volume,"759,817"
827,CB,Avg. Volume,"1,786,098"
828,CHD,Previous Close,86.63
829,CHD,Open,86.70
830,CHD,Bid,0.00 x 900
831,CHD,Ask,0.00 x 900
832,CHD,Day's Range,86.27 - 87.20
833,CHD,52 Week Range,80.34 - 105.28
834,CHD,Volume,"903,971"
835,CHD,Avg. Volume,"1,550,974"
836,CI,Previous Close,286.33
837,CI,Open,286.69
838,CI,Bid,279.10 x 1300
839,CI,Ask,0.00 x 2200
840,CI,Day's Range,285.83 - 289.60
841,CI,52 Week Range,191.74 - 293.96
842,CI,Volume,"1,789,790"
843,CI,Avg. Volume,"1,986,833"
844,CINF,Previous Close,101.16
845,CINF,Open,101.16
846,CINF,Bid,97.38 x 1400
847,CINF,Ask,104.02 x 1100
848,CINF,Day's Range,100.26 - 101.56
849,CINF,52 Week Range,93.41 - 143.22
850,CINF,Volume,"309,762"
851,CINF,Avg. Volume,"779,537"
852,CTAS,Previous Close,428.01
853,CTAS,Open,428.08
854,CTAS,Bid,429.58 x 900
855,CTAS,Ask,435.32 x 800
856,CTAS,Day's Range,426.45 - 430.46
857,CTAS,52 Week Range,343.86 - 461.44
858,CTAS,Volume,"249,269"
859,CTAS,Avg. Volume,"461,379"
860,CSCO,Previous Close,47.41
861,CSCO,Open,47.09
862,CSCO,Bid,0.00 x 3000
863,CSCO,Ask,0.00 x 800
864,CSCO,Day's Range,46.87 - 47.40
865,CSCO,52 Week Range,40.82 - 64.29
866,CSCO,Volume,"14,946,488"
867,CSCO,Avg. Volume,"21,166,209"
868,C,Previous Close,50.95
869,C,Open,50.93
870,C,Bid,51.19 x 1100
871,C,Ask,51.80 x 1100
872,C,Day's Range,50.62 - 51.29
873,C,52 Week Range,43.44 - 73.90
874,C,Volume,"10,601,450"
875,C,Avg. Volume,"19,793,224"
876,CFG,Previous Close,38.09
877,CFG,Open,37.97
878,CFG,Bid,0.00 x 900
879,CFG,Ask,41.60 x 1000
880,CFG,Day's Range,37.68 - 38.17
881,CFG,52 Week Range,34.35 - 57.00
882,CFG,Volume,"2,167,523"
883,CFG,Avg. Volume,"4,404,575"
884,CTXS,Previous Close,102.77
885,CTXS,Open,102.76
886,CTXS,Bid,102.51 x 800
887,CTXS,Ask,102.93 x 800
888,CTXS,Day's Range,102.56 - 102.99
889,CTXS,52 Week Range,78.07 - 115.00
890,CTXS,Volume,"388,717"
891,CTXS,Avg. Volume,"1,091,995"
892,CLX,Previous Close,148.10
893,CLX,Open,147.74
894,CLX,Bid,0.00 x 800
895,CLX,Ask,0.00 x 800
896,CLX,Day's Range,146.31 - 148.97
897,CLX,52 Week Range,120.50 - 186.86
898,CLX,Volume,"619,073"
899,CLX,Avg. Volume,"1,258,790"
900,CME,Previous Close,197.68
901,CME,Open,197.99
902,CME,Bid,0.00 x 800
903,CME,Ask,0.00 x 800
904,CME,Day's Range,197.23 - 199.43
905,CME,52 Week Range,185.79 - 256.94
906,CME,Volume,"987,811"
907,CME,Avg. Volume,"1,413,890"
908,CMS,Previous Close,70.94
909,CMS,Open,70.69
910,CMS,Bid,70.06 x 800
911,CMS,Ask,71.57 x 900
912,CMS,Day's Range,69.92 - 70.92
913,CMS,52 Week Range,58.51 - 73.76
914,CMS,Volume,"1,380,274"
915,CMS,Avg. Volume,"1,813,496"
916,KO,Previous Close,64.27
917,KO,Open,64.24
